,usuario,name,stars,categ
3254,1,Thirstea,5.0,BubbleTea
36004,1,Real Fruit Bubble Tea,4.5,BubbleTea
51703,1,I Heart Boba,4.5,BubbleTea
29942,1,Supermoon Japanese Style Cheesecakes,4.0,BubbleTea
18279,2,JAM House Seafood Restaurant,4.0,DimSum
42307,2,Happy Dim Sum Bakery,4.0,DimSum
22938,2,Bliss Chinese Cuisine,3.5,DimSum
26294,2,Jade Dim Sum,3.5,DimSum
41047,5,The Dimkin's Crepes,5.0,Creperies
8758,5,Our Crepe,3.5,Creperies
46213,5,Cr̻pe de licious,3.5,Creperies
63260,8,Sushijun Express,4.5,SushiBars
32884,8,Sushi Park,4.5,SushiBars
11031,8,Mac's Sushi,4.5,SushiBars
43895,8,Odai Sushi,4.0,SushiBars
18279,12,JAM House Seafood Restaurant,4.0,DimSum
42307,12,Happy Dim Sum Bakery,4.0,DimSum
22938,12,Bliss Chinese Cuisine,3.5,DimSum
26294,12,Jade Dim Sum,3.5,DimSum
7888,13,Forever Tea House,5.0,Coffee&Tea
61313,13,The Guilty Dog Coffee House,4.5,Coffee&Tea
60773,13,Teaopia,4.5,Coffee&Tea
3380,13,Starbucks,4.0,Coffee&Tea
49262,14,For Goodness Cakes,5.0,Bakeries
48452,14,Charlotte's Homemade Goodies,5.0,Bakeries
9707,14,Cobs Bread,4.5,Bakeries
61750,14,Tim Horton's,4.5,Bakeries
20663,16,Afghan Kitchen,5.0,Afghan
15587,16,Bakhtar Kabab,4.5,Afghan
10337,16,Afghan Kebob Cuisine,4.0,Afghan
29718,16,Watan Kabob,4.0,Afghan
9184,17,Popeyes Louisiana Kitchen,4.0,Cajun/Creole
50158,17,L.A. Boil Seafood,3.5,Cajun/Creole
18279,18,JAM House Seafood Restaurant,4.0,DimSum
42307,18,Happy Dim Sum Bakery,4.0,DimSum
22938,18,Bliss Chinese Cuisine,3.5,DimSum
26294,18,Jade Dim Sum,3.5,DimSum
18279,19,JAM House Seafood Restaurant,4.0,DimSum
42307,19,Happy Dim Sum Bakery,4.0,DimSum
22938,19,Bliss Chinese Cuisine,3.5,DimSum
26294,19,Jade Dim Sum,3.5,DimSum
13044,20,Buka Maranga,4.0,Bagels
54232,20,The Bagel House,4.0,Bagels
34468,20,Eggsmart,3.0,Bagels
67574,20,Tim Horton's,3.0,Bagels
8959,21,Burrito Boyz,3.5,Tex-Mex
25565,21,Burrito Boyz,3.5,Tex-Mex
29485,21,El Sombrero,3.5,Tex-Mex
38706,21,Burrito Boyz,3.5,Tex-Mex
37816,23,La Bonita Latin American Restaurant,4.5,LatinAmerican
674,23,229,4.0,LatinAmerican
8377,23,Colombia Mia,4.0,LatinAmerican
9203,23,Las Margaritas,4.0,LatinAmerican
26301,25,Mr Greek Express,1.5,Argentine
2328,26,Kage Restobar,4.5,AsianFusion
5318,26,Katsuya,4.5,AsianFusion
66609,26,Mi'hito Sushi Laboratory,4.0,AsianFusion
57365,26,Corner By Spoon and Fork,4.0,AsianFusion
18279,27,JAM House Seafood Restaurant,4.0,DimSum
42307,27,Happy Dim Sum Bakery,4.0,DimSum
22938,27,Bliss Chinese Cuisine,3.5,DimSum
26294,27,Jade Dim Sum,3.5,DimSum
18279,28,JAM House Seafood Restaurant,4.0,DimSum
42307,28,Happy Dim Sum Bakery,4.0,DimSum
22938,28,Bliss Chinese Cuisine,3.5,DimSum
26294,28,Jade Dim Sum,3.5,DimSum
20916,29,Bukhara Grill,4.0,Buffets
11645,29,Muddy Duck Restaurant,3.5,Buffets
12759,29,Mandarin Restaurant - Mississauga,3.5,Buffets
11022,29,Kwality Grand Indian Buffet,3.0,Buffets
10183,31,Sweet Philosophy,5.0,Desserts
51914,31,Cool Cakes and Pastries,5.0,Desserts
31538,31,Happy Birthday Cakes & Pastries,4.5,Desserts
10088,31,Kate's Town Talk Bakery,4.5,Desserts
42655,32,Pizza Nostra,4.5,ChickenWings
38016,32,KFC,4.5,ChickenWings
470,32,Popeyes Louisiana Kitchen,4.0,ChickenWings
14746,32,The Wingery,4.0,ChickenWings

